,Yesterday actual,Today actual,Today pred target,Correct
AIEQ,37.66,36.85,37.24,1
ASHR.L,10.46,10.34,12.59,0
BCHN.L,97.08,92.71,97.86,0
CORN,18.51,18.46,23.32,0
DBO,14.13,13.97,15.16,0
EDEN,105.33,105.17,96.72,1
EMXC,56.11,55.18,55.69,1
EWA,23.75,23.47,21.46,1
EWC,41.25,40.57,37.14,1
EWG,37.59,37.39,28.43,1
EWH,17.81,17.56,20.81,0
EWJ,70.65,69.22,61.2,1
EWQ,40.55,40.35,32.62,1
EWS,24.17,23.87,18.07,1
EWU,37.66,37.59,30.2,1
EWW,52.15,51.62,50.29,1
GLD,281.97,284.06,183.15,0
IDUP.L,29.42,29.21,31.58,0
IEMG,55.07,54.09,52.74,1
INDA,51.79,51.28,46.26,1
KSA,41.39,41.07,41.96,0
PSCC,35.13,34.83,33.71,1
SEMI.AS,6.66,6.45,5.21,1
SLV,31.32,31.0,21.3,1
SPY,567.08,555.66,420.69,1
TLT,87.94,89.16,114.55,1
USO,75.48,74.77,91.79,0
VDE,129.02,128.4,96.08,1
VDNR.L,138.91,136.1,104.57,1
VGK,71.29,70.98,59.6,1
VNQ,89.83,89.71,93.78,0
VPL,74.33,73.0,68.44,1
XMAF.L,8.06,8.1,8.84,1
