,Yesterday actual,Today actual,Today pred target,Correct
AIEQ,37.66,36.85,36.7,1
ASHR.L,10.46,10.34,9.77,1
BCHN.L,97.08,92.71,97.79,0
CORN,18.51,18.46,19.45,0
DBO,14.13,13.97,14.33,0
EDEN,105.33,105.17,121.85,0
EMXC,56.11,55.18,56.25,0
EWA,23.75,23.47,23.95,0
EWC,41.25,40.57,38.36,1
EWG,37.59,37.39,31.57,1
EWH,17.81,17.56,16.35,1
EWJ,70.65,69.22,66.62,1
EWQ,40.55,40.35,39.37,1
EWS,24.17,23.87,19.55,1
EWU,37.66,37.59,34.18,1
EWW,52.15,51.62,56.87,0
GLD,281.97,284.06,224.58,0
IDUP.L,29.42,29.21,28.85,1
IEMG,55.07,54.09,51.89,1
INDA,51.79,51.28,52.46,0
KSA,41.39,41.07,40.69,1
PSCC,35.13,34.83,36.88,0
SEMI.AS,6.66,6.45,7.38,0
SLV,31.32,31.0,26.2,1
SPY,567.08,555.66,537.07,1
TLT,87.94,89.16,90.24,1
USO,75.48,74.77,75.07,1
VDE,129.02,128.4,124.92,1
VDNR.L,138.91,136.1,131.48,1
VGK,71.29,70.98,66.04,1
VNQ,89.83,89.71,86.58,1
VPL,74.33,73.0,72.12,1
XMAF.L,8.06,8.1,6.98,0
