ETF,Money Lost (absolute),Money Lost (inflation-adjusted),Inflation-Adjusted Gain >50%,Inflation-Adjusted Gain >100%,Inflation-Adjusted Gain >200%
SPY,2.399,15.748000000000001,39.818,11.663,0.544
ASHR.L,33.485,56.37799999999999,18.247,7.670000000000001,1.452
VPL,19.338,55.114,7.754999999999999,0.9690000000000001,0.01
INDA,22.701999999999998,49.515,16.520000000000003,4.552,0.33899999999999997
TLT,47.683,84.501,1.0030000000000001,0.064,0.0
EMXC,32.839,63.734,8.181,1.553,0.061
IEMG,31.805,65.973,5.957,0.922,0.017
XMAF.L,46.469,74.797,4.88,0.9169999999999999,0.034999999999999996
VDNR.L,4.468,22.977,30.793,7.827000000000001,0.326
KSA,18.315,45.16,19.054,5.715,0.49300000000000005
EDEN,5.624,23.074,35.997,12.626000000000001,1.1860000000000002
VGK,17.137,46.299,15.457,3.4639999999999995,0.14300000000000002
SEMI.AS,31.901000000000003,50.726000000000006,26.078000000000003,14.008999999999999,4.425
AIEQ,23.449,46.591,23.225,9.251,1.489
BCHN.L,19.781000000000002,32.64,47.969,34.097,18.191
GLD,27.343,65.024,5.135,0.622,0.011000000000000001
SLV,51.543000000000006,71.819,10.5,4.167,0.839
USO,70.992,82.657,7.212000000000001,3.3619999999999997,0.848
DBO,62.946999999999996,80.036,6.586,2.311,0.366
CORN,76.289,92.64099999999999,0.91,0.136,0.006999999999999999
PSCC,7.284,28.521,28.127000000000002,8.137,0.51
VDE,34.826,55.034000000000006,21.377,10.348,2.659
IDUP.L,23.015,52.993,12.338000000000001,2.513,0.11900000000000001
VNQ,18.502,47.442,15.870999999999999,3.8629999999999995,0.2
EWU,23.927,58.353,7.938000000000001,1.161,0.02
EWS,31.311,63.188,8.137,1.48,0.05
EWW,43.996,68.483,9.576,2.896,0.294
EWJ,16.219,51.776999999999994,8.655,1.082,0.015
EWH,34.02,63.888999999999996,9.234,2.241,0.154
EWG,21.727,48.585,17.913,5.443,0.506
EWQ,17.025000000000002,43.529,20.084,5.887,0.488
EWC,25.09,57.042,10.187,1.8579999999999999,0.055999999999999994
EWA,29.805999999999997,58.23700000000001,12.316,3.147,0.187
