Return,Std,SPY,ASHR.L,VPL,INDA,TLT,EMXC,IEMG,XMAF.L,VDNR.L,KSA,EDEN,VGK,SEMI.AS,AIEQ,BCHN.L,GLD,SLV,USO,DBO,CORN,PSCC,VDE,IDUP.L,VNQ,EWU,EWS,EWW,EWJ,EWH,EWG,EWQ,EWC,EWA
0.20323842494803965,4.607037781705661,1.257,2.773,1.493,13.332,1.217,5.418,3.194,1.678,1.747,2.15,2.652,0.724,3.333,1.052,0.247,2.199,3.147,1.827,2.911,3.275,7.203,3.569,0.707,2.278,3.517,1.982,4.386,6.708,1.751,2.17,2.819,4.767,2.52
0.28922560310287665,4.935384653097479,10.744,0.891,13.482,1.525,0.142,1.126,0.511,1.657,2.455,3.811,2.351,3.82,3.385,0.113,1.999,2.715,4.786,6.137,5.67,4.005,1.158,0.358,0.137,1.456,1.501,0.344,6.032,0.073,10.638,3.474,0.402,0.113,2.991
0.3929173143529952,5.215386324408147,3.293,4.731,0.492,3.648,1.116,0.63,2.573,0.27,2.304,0.943,0.747,20.753,1.772,0.588,2.786,5.517,2.157,0.891,5.402,0.502,1.956,11.386,9.019,1.269,3.309,3.667,0.915,2.252,0.38,2.885,0.074,1.185,0.589
0.40421562199536326,6.693489561253726,4.141,1.329,2.15,5.159,2.884,4.75,0.092,4.527,3.594,0.392,0.282,0.21,8.405,1.473,3.141,0.07,0.402,18.667,4.104,0.455,2.639,0.779,1.254,3.841,7.264,3.726,0.519,0.082,1.423,4.022,2.453,4.898,0.87
0.41640424214768146,7.758307267988194,1.774,4.37,2.849,16.038,2.194,1.721,4.991,2.095,6.292,2.052,1.23,0.257,0.469,2.883,0.703,2.686,2.852,0.826,3.036,0.017,4.345,3.602,4.639,2.557,1.583,4.001,8.912,1.276,0.455,0.722,4.198,0.598,3.777
0.4933536104895933,8.012382024246227,10.584,5.509,3.15,2.517,1.895,2.929,2.026,0.819,5.398,2.12,3.529,4.473,0.719,2.581,7.654,4.176,6.411,3.131,0.953,0.546,0.365,2.603,4.944,0.985,0.119,0.215,5.472,2.27,0.9,2.85,2.764,3.942,1.45
0.5253136192235254,9.252059868224556,0.818,3.752,6.559,1.283,3.347,5.183,3.805,2.229,5.709,3.752,1.663,5.569,2.329,3.239,0.54,4.603,0.775,3.841,0.297,7.645,1.591,1.746,2.611,1.561,8.913,0.938,5.755,1.067,4.89,1.483,2.184,0.072,0.252
0.549531373350689,9.482615196499756,1.208,1.321,2.043,8.107,3.368,1.585,9.114,0.034,2.039,0.172,0.868,0.656,8.287,4.209,0.211,3.747,2.77,4.338,0.107,3.226,4.248,3.386,3.039,8.339,1.432,6.358,1.784,4.568,1.034,0.073,1.259,6.866,0.208
0.5707242121936953,10.34945885569358,1.203,1.65,12.87,0.711,6.728,0.121,5.609,4.373,3.841,0.911,0.056,2.735,3.563,1.999,3.894,9.259,4.738,0.078,4.244,2.01,1.044,3.119,4.774,1.486,4.809,2.265,1.297,2.875,0.592,1.2,3.403,0.83,1.714
0.5827394910109545,11.04164627630691,3.244,1.273,3.696,3.354,1.985,2.957,0.578,1.643,4.897,1.942,4.242,3.008,2.527,6.671,0.795,0.231,0.421,13.695,2.98,10.316,0.653,1.098,0.744,2.298,1.082,4.58,1.235,0.294,7.594,1.305,4.809,2.406,1.449
0.5987205191348486,11.407208755541848,0.661,4.079,0.756,3.336,2.433,2.291,1.575,10.006,0.011,2.096,6.251,0.402,0.459,0.794,5.019,8.234,0.479,0.555,3.799,2.98,2.279,0.609,3.906,4.103,7.042,1.047,2.523,6.462,0.27,4.346,3.018,4.181,3.996
0.6443445643490915,11.699191159151965,3.452,6.368,1.308,0.441,7.159,0.636,0.082,0.101,6.293,2.36,1.5,1.16,2.673,3.21,2.235,2.087,15.508,7.244,1.091,0.577,1.342,4.074,0.876,6.401,3.812,1.816,3.901,1.944,0.634,0.266,2.517,3.318,3.614
0.6676357968628023,12.100463599760502,1.5,2.24,0.068,9.106,4.727,0.726,0.014,3.47,0.079,2.088,18.466,0.588,2.442,7.771,3.814,0.638,3.255,6.422,6.409,2.509,3.093,0.906,0.224,0.001,0.205,0.702,7.053,2.871,0.383,0.103,1.503,4.852,1.77
0.7551377893827802,12.477075567890424,1.895,6.501,6.169,4.996,0.355,2.022,0.466,1.545,2.614,0.298,3.258,1.454,1.951,3.313,9.596,5.795,0.531,3.245,0.135,7.006,7.128,8.341,1.128,6.108,2.272,1.545,1.085,1.899,1.493,3.706,0.848,0.103,1.201
0.8097065735807527,14.619619902013747,3.547,5.256,1.071,8.531,0.972,2.28,0.422,0.049,8.675,3.202,1.696,7.487,0.166,0.386,8.451,0.441,0.173,1.739,0.31,9.368,3.099,1.362,3.282,0.061,1.982,3.262,2.391,4.561,2.443,4.806,0.988,4.736,2.804
0.9036618980510053,18.40235839168542,1.771,13.474,0.287,1.469,1.054,5.824,2.215,0.379,1.141,2.254,1.165,3.333,9.021,0.746,2.947,6.222,4.481,0.888,2.517,1.966,2.227,1.794,0.243,2.145,0.269,2.409,1.979,0.269,6.621,1.223,7.912,2.616,7.14
0.9430581076643046,21.379869754855186,0.027,6.598,0.716,0.055,6.213,0.241,0.28,0.925,3.568,0.401,4.304,1.802,6.759,1.773,10.615,4.168,2.28,2.383,3.146,2.195,1.641,2.152,3.416,2.39,0.479,1.024,2.453,1.977,6.497,6.644,0.98,4.855,7.042
1.0843169107123232,23.819090477213948,12.447,2.627,0.591,3.817,0.527,0.742,2.844,4.038,8.65,4.156,1.084,1.636,6.248,0.174,3.566,0.745,0.236,0.021,1.949,1.918,2.573,2.149,1.548,3.496,5.131,1.766,6.718,1.851,1.979,1.505,2.363,1.584,9.32
1.4707466382429433,38.64441542511197,6.21,2.184,1.088,2.699,1.276,2.274,4.68,5.625,2.446,2.039,7.619,0.449,0.618,3.731,5.033,1.81,4.216,0.266,1.022,2.462,1.767,0.432,3.61,5.43,0.55,5.611,0.085,7.423,3.436,0.516,1.079,3.546,8.768
1.63112291268422,43.82731447139152,10.902,1.087,0.405,2.546,4.006,1.169,3.174,0.3,1.22,1.124,2.657,4.077,4.453,5.166,8.493,1.322,0.448,1.137,11.885,1.211,1.442,1.215,0.075,11.333,0.365,1.537,5.324,4.283,1.61,2.528,1.748,1.207,0.551
