Portfolio_Index,Top_Assets,Weights,Return,Risk
5030,"['EWA', 'EWU', 'EWG', 'EWC', 'EMXC']","[8.718, 8.243, 7.86, 7.576, 6.683]",0.0697,0.0145
24578,"['GLD', 'VDE', 'CORN', 'DBO', 'EDEN']","[14.742, 12.019, 10.037, 6.825, 5.072]",0.0847,0.0189
81992,"['XMAF.L', 'EMXC', 'EWW', 'IEMG', 'EWJ']","[8.781, 8.489, 6.513, 6.509, 6.349]",0.0852,0.0196
75716,"['CORN', 'KSA', 'SPY', 'PSCC', 'TLT']","[14.786, 10.496, 9.46, 8.191, 7.378]",0.0908,0.0208
36542,"['TLT', 'EWJ', 'EWC', 'GLD', 'EWA']","[10.099, 9.983, 7.811, 7.037, 6.488]",0.1021,0.0218
85224,"['AIEQ', 'VDE', 'EWW', 'BCHN.L', 'EDEN']","[9.958, 9.472, 7.615, 7.43, 6.255]",0.1054,0.0219
30631,"['EWS', 'GLD', 'PSCC', 'EWC', 'INDA']","[21.285, 7.546, 7.358, 7.341, 5.42]",0.125,0.0234
9113,"['TLT', 'XMAF.L', 'DBO', 'EWQ', 'EWS']","[15.075, 7.197, 6.194, 5.856, 5.342]",0.129,0.0252
65216,"['GLD', 'SLV', 'EDEN', 'SPY', 'VDE']","[12.176, 7.572, 7.221, 6.468, 6.13]",0.1339,0.0263
71601,"['USO', 'SEMI.AS', 'EWC', 'TLT', 'INDA']","[11.363, 8.214, 7.716, 6.651, 5.805]",0.1705,0.0273
47905,"['TLT', 'GLD', 'CORN', 'EWW', 'INDA']","[16.035, 7.86, 7.849, 6.479, 6.458]",0.1819,0.0277
64276,"['DBO', 'BCHN.L', 'EWJ', 'PSCC', 'SEMI.AS']","[13.219, 11.163, 9.121, 8.805, 7.533]",0.1826,0.0319
81824,"['SLV', 'VDNR.L', 'CORN', 'IDUP.L', 'VGK']","[19.533, 14.981, 6.806, 6.42, 6.402]",0.1845,0.0363
59831,"['EWA', 'SPY', 'IEMG', 'EWG', 'IDUP.L']","[11.881, 10.39, 7.679, 7.448, 6.017]",0.1982,0.0364
24375,"['VDE', 'EWA', 'PSCC', 'VGK', 'EWC']","[8.824, 8.63, 8.182, 7.74, 7.035]",0.2011,0.0368
29992,"['EWU', 'AIEQ', 'ASHR.L', 'SEMI.AS', 'SPY']","[12.441, 11.982, 8.585, 5.878, 5.357]",0.2084,0.0372
37944,"['XMAF.L', 'TLT', 'EWU', 'KSA', 'USO']","[12.303, 10.565, 7.147, 6.73, 6.487]",0.2148,0.0381
79321,"['SLV', 'GLD', 'AIEQ', 'KSA', 'IDUP.L']","[10.464, 7.751, 7.424, 7.376, 6.739]",0.2188,0.0382
81782,"['EMXC', 'TLT', 'EWS', 'BCHN.L', 'VDE']","[17.321, 8.205, 6.306, 6.171, 6.136]",0.2409,0.0401
44126,"['SEMI.AS', 'CORN', 'SPY', 'EDEN', 'DBO']","[16.356, 10.278, 9.983, 6.963, 5.565]",0.2495,0.0452
81223,"['KSA', 'EWS', 'EWG', 'EWW', 'VPL']","[9.686, 7.402, 7.113, 7.096, 6.969]",0.2581,0.0461
29999,"['EWU', 'SPY', 'VDE', 'KSA', 'EWW']","[8.566, 8.464, 7.826, 6.912, 6.16]",0.2725,0.0485
77975,"['SLV', 'VGK', 'DBO', 'EWH', 'EWJ']","[12.817, 9.652, 8.945, 4.989, 4.681]",0.279,0.0499
33671,"['EWS', 'SEMI.AS', 'VDE', 'GLD', 'USO']","[10.472, 10.28, 9.909, 8.73, 7.889]",0.2875,0.0519
76021,"['TLT', 'BCHN.L', 'IDUP.L', 'EWS', 'EWQ']","[14.286, 12.002, 7.606, 6.362, 5.669]",0.3052,0.0539
73150,"['IDUP.L', 'CORN', 'SLV', 'VGK', 'VNQ']","[10.656, 7.66, 6.774, 6.7, 6.511]",0.3162,0.0542
9676,"['VDNR.L', 'IEMG', 'SEMI.AS', 'DBO', 'SLV']","[7.841, 7.654, 6.998, 6.029, 5.949]",0.3257,0.0603
88846,"['VDE', 'VPL', 'USO', 'CORN', 'EWS']","[13.771, 9.871, 7.914, 5.919, 5.792]",0.3387,0.0604
27774,"['EWQ', 'CORN', 'EWU', 'EWJ', 'KSA']","[10.2, 8.652, 8.471, 8.374, 7.716]",0.35,0.0623
57887,"['CORN', 'BCHN.L', 'PSCC', 'SLV', 'SEMI.AS']","[11.096, 10.838, 9.282, 5.869, 5.44]",0.3509,0.0653
72558,"['IEMG', 'SEMI.AS', 'CORN', 'EWW', 'IDUP.L']","[11.536, 11.16, 9.063, 6.029, 5.982]",0.352,0.0667
13954,"['SEMI.AS', 'EMXC', 'VDE', 'EWU', 'AIEQ']","[20.121, 7.674, 7.638, 7.595, 5.953]",0.3789,0.0689
49124,"['ASHR.L', 'EWC', 'EMXC', 'EWH', 'SEMI.AS']","[8.467, 7.216, 6.863, 6.709, 4.832]",0.3834,0.0724
62505,"['DBO', 'IEMG', 'EWU', 'EWG', 'SPY']","[15.444, 9.06, 8.822, 6.769, 6.318]",0.3918,0.0747
53324,"['USO', 'TLT', 'KSA', 'VPL', 'EWS']","[11.574, 8.859, 7.939, 7.623, 6.989]",0.4114,0.0753
42399,"['BCHN.L', 'GLD', 'SLV', 'EWH', 'EMXC']","[10.813, 6.395, 6.386, 6.21, 5.863]",0.4201,0.0786
91695,"['SEMI.AS', 'VDE', 'BCHN.L', 'EMXC', 'IDUP.L']","[12.519, 10.167, 7.527, 6.615, 5.355]",0.4538,0.0793
33039,"['SLV', 'VDE', 'PSCC', 'IDUP.L', 'INDA']","[12.215, 11.356, 6.922, 6.405, 5.055]",0.4633,0.0886
22639,"['SPY', 'DBO', 'VDNR.L', 'EWG', 'EMXC']","[9.044, 8.894, 8.259, 5.627, 5.566]",0.4767,0.0936
63318,"['EWA', 'EWG', 'IDUP.L', 'EWQ', 'IEMG']","[18.082, 9.893, 8.752, 6.536, 6.476]",0.4775,0.0948
63225,"['SEMI.AS', 'BCHN.L', 'VGK', 'EWQ', 'VPL']","[10.564, 8.182, 7.816, 6.633, 4.953]",0.4936,0.097
47080,"['EWC', 'SPY', 'VDE', 'AIEQ', 'SEMI.AS']","[10.05, 9.417, 9.375, 8.148, 7.559]",0.5072,0.0999
54356,"['EWQ', 'SLV', 'EWH', 'INDA', 'EDEN']","[11.487, 9.235, 9.083, 7.701, 7.247]",0.5229,0.1006
73903,"['VNQ', 'EWC', 'INDA', 'BCHN.L', 'IDUP.L']","[10.942, 8.44, 8.169, 7.78, 6.435]",0.5289,0.1015
40332,"['BCHN.L', 'EWU', 'DBO', 'XMAF.L', 'GLD']","[11.596, 11.081, 7.671, 6.931, 6.296]",0.5348,0.105
66486,"['VPL', 'BCHN.L', 'EWQ', 'AIEQ', 'EWA']","[10.12, 8.948, 8.594, 8.384, 6.434]",0.5527,0.1088
89658,"['IEMG', 'SLV', 'EWS', 'BCHN.L', 'VGK']","[15.656, 9.093, 8.815, 7.832, 6.803]",0.5957,0.1104
48475,"['VDE', 'EWS', 'EMXC', 'SLV', 'EWQ']","[14.679, 11.188, 6.663, 5.729, 5.402]",0.6061,0.1209
27433,"['BCHN.L', 'DBO', 'XMAF.L', 'EWU', 'EWW']","[19.157, 14.505, 8.5, 7.369, 5.982]",0.6272,0.1275
3732,"['EWW', 'IEMG', 'EMXC', 'PSCC', 'ASHR.L']","[13.791, 7.864, 7.199, 6.137, 5.872]",0.6277,0.1306
71564,"['EWC', 'XMAF.L', 'EWH', 'AIEQ', 'EDEN']","[10.351, 9.305, 8.556, 8.096, 6.009]",0.6657,0.1361
31919,"['EWJ', 'EMXC', 'INDA', 'BCHN.L', 'VPL']","[13.481, 8.587, 6.875, 6.445, 6.092]",0.6832,0.1367
31944,"['VNQ', 'EMXC', 'EWC', 'DBO', 'EWW']","[16.681, 11.794, 9.492, 7.85, 7.521]",0.7005,0.139
11483,"['EWG', 'VDNR.L', 'TLT', 'EMXC', 'USO']","[10.733, 10.334, 7.573, 6.413, 5.439]",0.7353,0.1424
7858,"['BCHN.L', 'EWH', 'EWA', 'VDNR.L', 'DBO']","[16.241, 7.174, 6.93, 6.637, 6.274]",0.809,0.1506
30172,"['GLD', 'EWA', 'PSCC', 'EWQ', 'XMAF.L']","[11.272, 9.232, 8.657, 5.904, 5.805]",0.8704,0.1738
25747,"['BCHN.L', 'GLD', 'VNQ', 'USO', 'IDUP.L']","[15.816, 15.699, 15.3, 7.315, 5.474]",1.0092,0.18
4382,"['EWU', 'EWG', 'IDUP.L', 'EWH', 'VGK']","[14.723, 12.181, 6.692, 5.843, 5.76]",1.0511,0.2292
58820,"['ASHR.L', 'BCHN.L', 'IEMG', 'EWH', 'INDA']","[11.369, 10.713, 8.879, 7.989, 7.851]",1.0523,0.2349
40488,"['BCHN.L', 'EWW', 'DBO', 'PSCC', 'VPL']","[11.1, 10.654, 7.193, 6.0, 5.86]",1.0604,0.2413
11727,"['BCHN.L', 'EWJ', 'EWC', 'VNQ', 'EMXC']","[10.349, 8.391, 8.317, 6.704, 5.449]",1.3064,0.244
87575,"['EWS', 'EWQ', 'VGK', 'BCHN.L', 'EWH']","[14.24, 10.882, 8.513, 7.971, 5.56]",1.3121,0.2765
