Return,Std,SPY,ASHR.L,VPL,INDA,TLT,EMXC,IEMG,XMAF.L,VDNR.L,KSA,EDEN,VGK,SEMI.AS,AIEQ,BCHN.L,GLD,SLV,USO,DBO,CORN,PSCC,VDE,IDUP.L,VNQ,EWU,EWS,EWW,EWJ,EWH,EWG,EWQ,EWC,EWA
-0.014654927295701064,0.013745579268207419,0.177,5.744,3.252,5.518,2.316,3.564,2.211,8.677,0.173,2.224,0.53,0.611,14.025,5.018,3.392,4.35,0.699,0.013,3.362,2.313,0.21,0.618,0.79,5.408,1.921,1.188,0.493,6.24,1.182,7.754,1.19,4.654,0.181
0.03145880806520406,0.01470578536590025,5.6,7.319,2.481,0.305,0.83,0.997,5.245,4.293,4.189,1.307,3.613,0.365,0.103,0.585,1.722,5.728,2.409,1.921,2.234,5.546,9.191,0.784,9.315,2.581,0.074,2.172,7.129,0.255,0.101,7.419,0.411,2.045,1.73
0.04019824373661097,0.015284442886353795,1.127,0.014,4.952,0.437,1.514,6.635,6.972,4.492,2.625,0.255,0.082,2.199,3.443,5.62,0.739,9.134,3.041,3.325,2.102,1.126,0.414,0.565,10.953,0.094,0.165,0.785,8.038,0.498,1.167,3.302,0.627,3.477,10.08
0.0684197743679291,0.015540515410491926,4.812,0.163,6.519,3.967,2.946,1.475,1.481,2.57,1.13,0.987,3.655,1.207,0.393,5.956,1.352,4.217,4.936,2.94,4.198,10.34,0.521,0.808,5.447,0.661,1.879,2.964,0.405,8.974,3.206,2.561,1.302,1.865,4.16
0.09425945023157944,0.018176399757531887,3.083,1.849,3.468,4.14,0.712,7.163,0.645,3.654,1.782,3.273,1.377,2.857,2.627,1.629,0.034,4.253,1.303,4.431,1.11,9.486,3.175,1.626,0.464,5.295,6.82,3.312,1.732,5.371,0.583,3.778,1.774,4.322,2.874
0.09658528309506775,0.019754886000582946,0.703,5.186,1.602,3.968,3.458,2.448,0.505,7.508,3.831,0.068,1.022,2.331,2.231,3.884,2.15,9.537,5.499,9.159,3.494,2.181,1.465,4.385,0.282,2.233,2.816,1.893,3.023,1.641,2.987,1.067,0.59,3.757,3.098
0.10480065124744861,0.021661007673492223,0.563,1.595,0.393,1.844,2.972,2.789,2.717,0.847,1.466,3.672,11.592,3.554,1.3,2.043,1.716,0.215,9.659,9.691,0.794,2.012,3.231,0.155,1.183,13.309,0.346,0.37,5.327,3.249,0.529,0.309,5.588,0.575,4.392
0.10556997025629745,0.021769265546587636,2.943,1.38,1.299,10.654,4.205,2.246,8.113,3.398,0.443,0.188,3.166,3.933,1.021,0.549,2.835,0.986,2.241,4.521,5.85,1.247,0.327,0.971,0.322,2.606,1.622,14.137,1.997,0.454,1.182,0.641,6.826,0.4,7.297
0.11407883387619155,0.024616433904416046,1.305,3.268,0.193,10.756,5.733,2.372,6.567,1.201,0.219,1.13,4.186,0.626,3.352,6.611,0.021,7.2,1.523,1.424,0.295,0.495,1.233,3.381,5.584,3.375,3.599,0.952,3.123,1.758,10.518,2.3,2.961,0.916,1.823
0.12490718476960658,0.02477193434372685,2.012,1.953,1.824,5.745,4.188,5.555,0.563,7.686,0.756,9.237,1.701,3.864,2.62,4.571,0.975,3.244,6.174,0.769,7.173,2.488,0.441,1.111,1.637,2.642,0.535,0.783,4.344,3.157,3.103,3.591,0.486,4.016,1.057
0.13838223097383975,0.02631495856438436,0.82,0.757,1.306,7.956,0.025,1.567,5.679,11.628,2.622,0.197,4.317,1.71,1.132,0.082,4.278,0.76,0.189,2.764,1.397,3.92,2.95,10.329,0.158,4.249,0.762,1.467,2.621,8.046,1.946,8.542,2.191,1.77,1.861
0.13901045340699994,0.028007913889474597,5.09,2.809,1.043,0.73,3.367,1.102,2.634,1.459,4.781,6.755,0.48,0.156,2.072,0.673,0.861,0.756,0.695,6.637,13.352,1.183,0.691,1.465,0.138,9.095,0.721,5.974,1.374,2.306,3.638,4.505,7.247,4.757,1.452
0.1821464841618958,0.02839849195920843,0.709,3.865,4.591,4.393,6.325,1.03,0.921,4.191,4.173,1.901,5.453,7.177,1.06,1.191,1.573,2.642,6.916,3.984,4.699,5.054,3.13,0.128,10.111,3.64,0.646,0.38,1.054,2.216,1.217,0.133,0.561,1.929,3.008
